testfall_id,stufe,workflow,score_strukturell,score_semantisch,score_gesamt,syntax_gate,fk_gate,pk_rate,pk_tabellen_gesamt,pk_tabellen_mit_pk,fk_referenzen_gesamt,fk_referenzen_ungueltig,entitaet_precision,entitaet_recall,entitaet_f1,entitaet_matched,entitaet_nur_in_referenz,entitaet_nur_in_generiert,attribut_precision,attribut_recall,attribut_f1,attribut_matched,attribut_nur_in_referenz,attribut_nur_in_generiert,beziehung_recall,beziehung_matched,beziehung_nur_in_referenz,beziehung_nur_in_generiert,abweichungen_total,input_tokens,output_tokens,total_tokens,llm_calls,error
TC028,1,oa,1.0,1.0,1.0,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,1.0,1.0,1.0,18,0,0,1.0,3,0,0,0,11955,3504,15459,4,
TC028,1,mad,1.0,0.9777777777777779,0.9866666666666667,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9444444444444444,0.9444444444444444,0.9444444444444444,17,1,1,1.0,3,0,0,1,28870,6580,35450,8,
TC029,1,sa,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,15,0,0,1.0,2,0,0,0,2319,682,3001,1,
TC029,1,ps,1.0,0.9200000000000002,0.9520000000000001,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.8,0.8,0.8000000000000002,12,3,3,1.0,2,0,0,3,7202,2509,9711,3,
TC029,1,iw,1.0,1.0,1.0,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,1.0,1.0,1.0,15,0,0,1.0,2,0,0,0,5518,1497,7015,2,
TC029,1,oa,1.0,0.9200000000000002,0.9520000000000001,1,1,1.0,3,3,2,0,1.0,1.0,1.0,3,0,0,0.8,0.8,0.8000000000000002,12,3,3,1.0,2,0,0,3,12222,3516,15738,4,
TC029,1,mad,1.0,0.8928571428571428,0.9357142857142857,1,1,1.0,4,4,3,0,0.75,1.0,0.8571428571428571,3,0,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,14,1,3,1.0,2,0,0,1,30945,7694,38639,8,
TC030,1,sa,1.0,0.9789473684210526,0.9873684210526316,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,1,1,1.0,3,0,0,1,2295,868,3163,1,
TC030,1,ps,1.0,0.9789473684210526,0.9873684210526316,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,1,1,1.0,3,0,0,1,7419,2994,10413,3,
TC030,1,iw,1.0,0.9789473684210526,0.9873684210526316,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,1,1,1.0,3,0,0,1,5681,1739,7420,2,
TC030,1,oa,1.0,0.9789473684210526,0.9873684210526316,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9473684210526315,0.9473684210526315,0.9473684210526315,18,1,1,1.0,3,0,0,1,12868,3844,16712,4,
TC030,1,mad,1.0,0.9675675675675677,0.9805405405405406,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9444444444444444,0.8947368421052632,0.918918918918919,17,2,1,1.0,3,0,0,2,29726,7146,36872,8,
TC031,1,sa,1.0,0.9636363636363636,0.9781818181818182,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,20,2,2,1.0,3,0,0,2,2340,956,3296,1,
TC031,1,ps,1.0,0.9272727272727272,0.9563636363636363,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.8181818181818182,0.8181818181818182,0.8181818181818182,18,4,4,1.0,3,0,0,4,7744,3298,11042,3,
TC031,1,iw,1.0,0.9636363636363636,0.9781818181818182,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.9090909090909091,0.9090909090909091,0.9090909090909091,20,2,2,1.0,3,0,0,2,5886,1878,7764,2,
TC031,1,oa,1.0,0.9454545454545455,0.9672727272727273,1,1,1.0,4,4,3,0,1.0,1.0,1.0,4,0,0,0.8636363636363636,0.8636363636363636,0.8636363636363636,19,3,3,1.0,3,0,0,3,13533,4446,17979,4,
